LSOA21CD,LSOA21NM,LSOA21NMW,ObjectId
E01009080,Birmingham 141F,,8759
E01009081,Birmingham 141H,,8760
E01009082,Birmingham 044A,,8761
E01009083,Birmingham 141I,,8762
E01009084,Birmingham 042A,,8763
E01009085,Birmingham 042B,,8764
E01009086,Birmingham 044B,,8765
E01009087,Birmingham 042C,,8766
E01009088,Birmingham 045A,,8767
E01009089,Birmingham 042D,,8768
E01009090,Birmingham 042E,,8769
E01009091,Birmingham 045B,,8770
E01009092,Birmingham 054A,,8771
E01009093,Birmingham 054B,,8772
E01009094,Birmingham 054C,,8773
E01009095,Birmingham 056A,,8774
E01009096,Birmingham 029A,,8775
E01009097,Birmingham 029B,,8776
E01009098,Birmingham 025C,,8777
E01009099,Birmingham 029C,,8778
E01009100,Birmingham 025D,,8779
E01009101,Birmingham 029D,,8780
E01008919,Birmingham 095A,,8781
E01008920,Birmingham 094B,,8782
E01008921,Birmingham 094C,,8783
E01008923,Birmingham 102B,,8784
E01008924,Birmingham 101A,,8785
E01008925,Birmingham 102C,,8786
E01008927,Birmingham 102D,,8787
E01008928,Birmingham 102E,,8788
E01008929,Birmingham 106C,,8789
E01008930,Birmingham 106D,,8790
E01008931,Birmingham 094D,,8791
E01008932,Birmingham 111A,,8792
E01008933,Birmingham 105A,,8793
E01008934,Birmingham 105B,,8794
E01008935,Birmingham 111B,,8795
E01008936,Birmingham 111C,,8796
E01008937,Birmingham 115A,,8797
E01008938,Birmingham 111D,,8798
E01008939,Birmingham 111E,,8799
E01008940,Birmingham 115B,,8800
E01009270,Birmingham 034C,,8801
E01009271,Birmingham 034D,,8802
E01009272,Birmingham 036B,,8803
E01009273,Birmingham 034E,,8804
E01009274,Birmingham 036C,,8805
E01009275,Birmingham 039A,,8806
E01009276,Birmingham 133C,,8807
E01009278,Birmingham 133D,,8808
E01009279,Birmingham 133E,,8809
E01009280,Birmingham 100A,,8810
E01009281,Birmingham 099A,,8811
E01009282,Birmingham 100B,,8812
E01009283,Birmingham 079E,,8813
E01009284,Birmingham 096A,,8814
E01009286,Birmingham 096C,,8815
E01009288,Birmingham 100C,,8816
E01009289,Birmingham 096E,,8817
E01009290,Birmingham 096F,,8818
E01009291,Birmingham 095D,,8819
E01009292,Birmingham 099B,,8820
E01009293,Birmingham 100D,,8821
E01009294,Birmingham 099C,,8822
E01009295,Birmingham 099D,,8823
E01009296,Birmingham 100E,,8824
E01009297,Birmingham 057A,,8825
E01009298,Birmingham 054D,,8826
E01009299,Birmingham 057B,,8827
E01009300,Birmingham 057C,,8828
E01009301,Birmingham 057D,,8829
E01009302,Birmingham 069A,,8830
E01009303,Birmingham 057E,,8831
E01009304,Birmingham 046A,,8832
E01009305,Birmingham 045C,,8833
E01009306,Birmingham 046B,,8834
E01009307,Birmingham 045D,,8835
E01009308,Birmingham 046C,,8836
E01009309,Birmingham 045E,,8837
E01009310,Birmingham 046D,,8838
E01009311,Birmingham 054E,,8839
E01009312,Birmingham 072A,,8840
E01009313,Birmingham 076D,,8841
E01009314,Birmingham 069B,,8842
E01009315,Birmingham 081A,,8843
E01009316,Birmingham 081B,,8844
E01009317,Birmingham 081C,,8845
E01009318,Birmingham 081D,,8846
E01009319,Birmingham 081E,,8847
E01009320,Birmingham 081F,,8848
E01009321,Birmingham 069C,,8849
E01009322,Birmingham 069D,,8850
